element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Al,2,1,1.000000000000e+00,1.889726124626e+00,2.704223309241e-01,1.040984472005e-01
Al,2,1,2.000000000000e+00,3.779452249252e+00,1.589587039164e+00,6.119078328390e-01
Al,2,1,3.000000000000e+00,5.669178373877e+00,2.555807934041e+00,9.838523185837e-01
Al,2,1,4.000000000000e+00,7.558904498503e+00,1.469217705817e+00,5.655719379847e-01
Al,2,1,5.000000000000e+00,9.448630623129e+00,-6.004811525022e-01,-2.311538227448e-01
Al,2,1,6.000000000000e+00,1.133835674775e+01,-1.234334925722e+00,-4.751543581995e-01
Al,2,1,7.000000000000e+00,1.322808287238e+01,-2.229902307269e-01,-8.583957057182e-02
Al,3,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Al,3,1,1.000000000000e-01,1.889726124626e-01,6.319999639944e-01,2.432869159059e-01
Al,3,1,5.000000000000e-01,9.448630623129e-01,3.019613046750e+00,1.162393017762e+00
Al,3,1,1.000000000000e+00,1.889726124626e+00,5.225084528295e+00,2.011384133952e+00
Al,3,1,2.000000000000e+00,3.779452249252e+00,5.563721296134e+00,2.141741569954e+00
Al,3,1,3.000000000000e+00,5.669178373877e+00,2.118556396314e+00,8.155333563225e-01
Al,3,1,4.000000000000e+00,7.558904498503e+00,-4.405231775212e-01,-1.695783723892e-01
Al,3,1,5.000000000000e+00,9.448630623129e+00,-2.982517104324e-01,-1.148113021022e-01
Al,3,1,6.000000000000e+00,1.133835674775e+01,4.830354111957e-01,1.859433578452e-01
Al,3,1,7.000000000000e+00,1.322808287238e+01,2.219811083008e-01,8.545111124146e-02
Al,4,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Al,4,2,1.000000000000e-01,1.889726124626e-01,1.194830237743e-03,4.599471204626e-04
Al,4,2,5.000000000000e-01,9.448630623129e-01,2.879225292204e-02,1.108351078237e-02
Al,4,2,1.000000000000e+00,1.889726124626e+00,1.020462172243e-01,3.928245392841e-02
